,market,arrival_date,arrivals_tonnes,variety,minimum_price,maximum_price,modal_price
125,Davangere,23/01/2016,35.0,Tomato,400,600,500
126,Doddaballa Pur,1/1/2016,1.0,Tomato,1200,1600,1400
127,Doddaballa Pur,2/1/2016,1.0,Tomato,1200,1600,1400
143,Gowribidanoor,14/01/2016,7.0,Tomato,950,1050,1000
144,Hassan,6/1/2016,3.0,Tomato,1000,1000,1000
145,Hassan,8/1/2016,5.0,Tomato,1002,1002,1002
146,Hassan,21/01/2016,3.0,Tomato,1000,1000,1000
147,Honnali,1/1/2016,4.0,Tomato,1800,1800,1800
148,Honnali,2/1/2016,4.0,Tomato,1800,1800,1800
149,Honnali,4/1/2016,3.0,Hybrid,1600,1600,1600
150,Honnali,5/1/2016,3.0,Tomato,1800,1800,1800
151,Honnali,6/1/2016,3.0,Tomato,1800,1800,1800
152,Honnali,7/1/2016,4.0,Hybrid,1800,1800,1800
153,Honnali,8/1/2016,3.0,Hybrid,1900,1900,1900
154,Honnali,11/1/2016,3.0,Tomato,1800,1800,1800
155,Honnali,12/1/2016,3.0,Hybrid,1900,1900,1900
156,Honnali,13/01/2016,4.0,Hybrid,1900,1900,1900
157,Honnali,14/01/2016,4.0,Tomato,1900,1900,1900
158,Honnali,16/01/2016,3.0,Tomato,2000,2000,2000
159,Honnali,18/01/2016,2.0,Hybrid,1800,1800,1800
160,Honnali,19/01/2016,4.0,Tomato,1800,1800,1800
161,Honnali,20/01/2016,2.0,Hybrid,1800,1800,1800
162,Honnali,21/01/2016,3.0,Hybrid,1800,1800,1800
163,Honnali,23/01/2016,2.0,Hybrid,1900,1900,1900
164,Honnali,25/01/2016,4.0,Hybrid,1800,1800,1800
165,Hoskote,18/01/2016,5.0,Hybrid,2000,2400,2300
166,Hospet,4/1/2016,8.0,Tomato,700,800,800
167,Hospet,5/1/2016,3.0,Tomato,1000,1600,1200
168,Hospet,11/1/2016,10.0,Tomato,800,1080,800
169,Hospet,12/1/2016,6.0,Tomato,750,1400,1000
170,Hospet,13/01/2016,3.0,Tomato,800,1400,1200
171,Hospet,18/01/2016,12.0,Tomato,700,1000,800
172,Hospet,20/01/2016,8.0,Tomato,800,1200,1000
173,K.R.Nagar,8/1/2016,1.0,Tomato,1500,1500,1500
174,K.R.Nagar,11/1/2016,1.0,Tomato,1500,1500,1500
175,K.R.Nagar,18/01/2016,1.0,Tomato,1000,1000,1000
176,Kanakapura,21/01/2016,1.0,Tomato,1500,2500,2200
188,Kolar,15/01/2016,100.0,Tomato,1000,2667,2334
189,Kolar,16/01/2016,80.0,Tomato,1000,2534,2134
190,Kolar,17/01/2016,70.0,Tomato,667,2334,2000
191,Kolar,18/01/2016,140.0,Tomato,667,3000,2400
192,Kolar,19/01/2016,153.0,Tomato,334,1667,1200
193,Kolar,20/01/2016,147.0,Tomato,400,1334,1066
194,Kolar,21/01/2016,167.0,Tomato,500,1667,1200
197,Kolar,24/01/2016,154.0,Tomato,400,1600,1000
201,Malur,1/1/2016,2.0,Tomato,1000,2500,1330
202,Malur,2/1/2016,3.0,Tomato,800,1800,1000
203,Malur,4/1/2016,12.0,Tomato,800,1800,1160
204,Malur,5/1/2016,3.0,Tomato,600,1500,800
205,Malur,6/1/2016,14.0,Tomato,700,2000,785
206,Malur,11/1/2016,6.0,Tomato,600,1800,830
207,Malur,12/1/2016,9.0,Tomato,600,1800,880
208,Malur,13/01/2016,10.0,Tomato,800,1500,1105
209,Malur,14/01/2016,9.0,Tomato,800,1500,880
210,Malur,16/01/2016,103.0,Tomato,1000,2500,2000
211,Malur,18/01/2016,8.0,Tomato,900,2000,1084
212,Malur,20/01/2016,4.0,Tomato,700,1400,750
213,Malur,22/01/2016,5.0,Tomato,700,1500,1000
215,Mulabagilu,1/1/2016,4.0,Tomato,1335,3665,2500
221,Mulabagilu,8/1/2016,4.0,Tomato,1335,4000,2665
222,Mulabagilu,9/1/2016,4.0,Tomato,1000,3000,2000
223,Mulabagilu,10/1/2016,6.0,Tomato,1000,2800,1900
224,Mulabagilu,11/1/2016,8.0,Tomato,665,2665,1665
225,Mulabagilu,12/1/2016,6.0,Tomato,665,2800,1735
226,Mulabagilu,13/01/2016,7.0,Tomato,665,3000,1835
227,Mulabagilu,14/01/2016,5.0,Tomato,1335,4335,2835
228,Mulabagilu,15/01/2016,4.0,Tomato,665,2000,1335
229,Mulabagilu,17/01/2016,3.0,Tomato,665,2265,1465
230,Mulabagilu,18/01/2016,10.0,Tomato,665,2335,1500
231,Mulabagilu,19/01/2016,12.0,Tomato,335,1665,1000
232,Mulabagilu,20/01/2016,17.0,Tomato,335,1335,835
233,Mulabagilu,21/01/2016,12.0,Tomato,500,2000,1235
234,Mulabagilu,22/01/2016,17.0,Tomato,335,1335,835
235,Mulabagilu,23/01/2016,17.0,Tomato,335,1000,665
236,Mulabagilu,24/01/2016,24.0,Tomato,335,1065,700
237,Mulabagilu,25/01/2016,32.0,Tomato,265,800,565
255,Nagamangala,5/1/2016,2.0,Tomato,1000,1000,1000
256,Nagamangala,12/1/2016,2.0,Tomato,1000,1200,1000
257,Nagamangala,18/01/2016,3.0,Tomato,1000,1000,1000
258,Nagamangala,19/01/2016,3.0,Tomato,833,833,833
259,Nagamangala,23/01/2016,1.0,Tomato,500,500,500
260,Nagamangala,30/01/2016,5.0,Tomato,500,500,500
268,Ramanagara,11/1/2016,5.0,Tomato,2000,2600,2300
269,Ramanagara,12/1/2016,10.0,Tomato,2000,2600,2300
273,Ramanagara,18/01/2016,14.0,Tomato,1800,2200,2000
274,Ramanagara,19/01/2016,6.0,Tomato,1800,2200,2000
275,Ramanagara,20/01/2016,9.0,Tomato,1400,1800,1600
276,Ramanagara,21/01/2016,13.0,Tomato,1000,1600,1300
277,Ramanagara,22/01/2016,13.0,Tomato,1000,1400,1200
278,Ramanagara,23/01/2016,14.0,Tomato,1000,1500,1250
279,Ramanagara,25/01/2016,11.0,Tomato,600,1000,800
280,Shimoga,1/1/2016,6.0,Tomato,1400,1600,1500
281,Shimoga,4/1/2016,6.0,Tomato,1300,1500,1400
283,Shimoga,6/1/2016,6.0,Tomato,1800,2000,1900
285,Shimoga,11/1/2016,8.0,Tomato,1800,2000,1900
286,Shimoga,14/01/2016,6.0,Tomato,1800,2000,1900
287,Shimoga,16/01/2016,6.0,Tomato,1800,2000,1900
288,Shimoga,18/01/2016,6.0,Tomato,1300,1500,1400
289,Shimoga,19/01/2016,6.0,Tomato,1300,1500,1400
290,Shimoga,20/01/2016,8.0,Tomato,800,1000,900
291,Shimoga,21/01/2016,7.0,Tomato,800,1000,900
292,Shimoga,25/01/2016,9.0,Tomato,800,1000,900
293,Srinivasapur,1/1/2016,6.0,Tomato,750,4000,2375
297,Srinivasapur,5/1/2016,5.0,Tomato,1200,4335,2765
298,Srinivasapur,6/1/2016,4.0,Tomato,1100,4200,2650
299,Srinivasapur,7/1/2016,3.0,Tomato,1000,4000,2500
300,Srinivasapur,8/1/2016,3.0,Tomato,1120,3900,2510
301,Srinivasapur,9/1/2016,4.0,Tomato,1000,3200,2100
302,Srinivasapur,10/1/2016,4.0,Tomato,800,3000,1900
303,Srinivasapur,11/1/2016,3.0,Tomato,1000,2500,1750
304,Srinivasapur,12/1/2016,4.0,Tomato,800,2600,1700
305,Srinivasapur,13/01/2016,5.0,Tomato,535,3000,1765
306,Srinivasapur,14/01/2016,3.0,Tomato,1000,3200,2100
307,Srinivasapur,15/01/2016,3.0,Tomato,1000,3000,2000
308,Srinivasapur,17/01/2016,3.0,Tomato,1000,2300,1650
309,Srinivasapur,18/01/2016,5.0,Tomato,900,2200,1550
310,Srinivasapur,19/01/2016,3.0,Tomato,800,2000,1400
311,Srinivasapur,20/01/2016,4.0,Tomato,665,1335,1000
312,Srinivasapur,21/01/2016,4.0,Tomato,665,1665,1165
313,Srinivasapur,22/01/2016,4.0,Tomato,800,1200,1000
314,Srinivasapur,23/01/2016,4.0,Tomato,400,800,600
315,Srinivasapur,24/01/2016,3.0,Tomato,335,665,500
316,Srinivasapur,25/01/2016,4.0,Tomato,200,500,350
318,Udupi,13/01/2016,9.0,Tomato,1500,1700,1600
319,Udupi,20/01/2016,9.0,Tomato,1400,1600,1500
320,Bagepalli,2/2/2016,8.0,Tomato,300,500,400
321,Bagepalli,3/2/2016,7.0,Tomato,300,500,400
322,Bagepalli,4/2/2016,9.0,Tomato,250,440,360
324,Bagepalli,8/2/2016,9.0,Tomato,250,440,350
325,Bagepalli,9/2/2016,9.0,Tomato,200,300,250
327,Bagepalli,11/2/2016,5.0,Tomato,300,450,400
328,Bagepalli,12/2/2016,10.0,Tomato,300,450,380
329,Bagepalli,15/02/2016,10.0,Tomato,300,450,400
330,Bagepalli,16/02/2016,8.0,Tomato,300,450,320
331,Bagepalli,17/02/2016,10.0,Tomato,150,260,210
332,Bagepalli,18/02/2016,12.0,Tomato,150,260,210
333,Bagepalli,20/02/2016,8.0,Tomato,150,240,200
334,Bagepalli,22/02/2016,8.0,Tomato,150,320,200
335,Bagepalli,23/02/2016,8.0,Tomato,150,340,210
336,Bagepalli,24/02/2016,9.0,Tomato,150,280,210
337,Bagepalli,25/02/2016,9.0,Tomato,160,320,240
338,Bagepalli,27/02/2016,15.0,Tomato,200,300,260
339,Bangarpet,15/02/2016,1.0,Tomato,300,1000,730
340,Bangarpet,17/02/2016,2.0,Tomato,300,600,400
341,Bangarpet,22/02/2016,1.0,Tomato,300,800,600
342,Bangarpet,24/02/2016,1.0,Tomato,300,900,500
343,"Binny Mill (F&V), Bangalore",1/2/2016,51.0,Tomato,500,600,550
344,"Binny Mill (F&V), Bangalore",8/2/2016,47.0,Tomato,500,700,600
345,"Binny Mill (F&V), Bangalore",9/2/2016,51.0,Tomato,500,700,600
346,"Binny Mill (F&V), Bangalore",12/2/2016,55.0,Tomato,600,800,700
347,"Binny Mill (F&V), Bangalore",15/02/2016,57.0,Tomato,400,600,500
348,"Binny Mill (F&V), Bangalore",16/02/2016,56.0,Tomato,400,500,450
349,"Binny Mill (F&V), Bangalore",17/02/2016,46.0,Tomato,400,500,450
350,"Binny Mill (F&V), Bangalore",18/02/2016,58.0,Tomato,400,500,450
351,"Binny Mill (F&V), Bangalore",19/02/2016,57.0,Tomato,400,500,450
352,"Binny Mill (F&V), Bangalore",20/02/2016,52.0,Tomato,400,500,450
353,"Binny Mill (F&V), Bangalore",22/02/2016,51.0,Tomato,400,600,500
354,"Binny Mill (F&V), Bangalore",23/02/2016,46.0,Tomato,300,500,400
355,"Binny Mill (F&V), Bangalore",24/02/2016,53.0,Tomato,400,500,450
356,"Binny Mill (F&V), Bangalore",25/02/2016,58.0,Tomato,500,700,600
357,"Binny Mill (F&V), Bangalore",26/02/2016,64.0,Tomato,600,800,700
358,"Binny Mill (F&V), Bangalore",27/02/2016,54.0,Tomato,600,800,700
359,"Binny Mill (F&V), Bangalore",29/02/2016,47.0,Tomato,400,500,450
360,Channapatana,1/2/2016,2.0,Tomato,600,800,700
361,Channapatana,8/2/2016,3.0,Tomato,500,800,650
362,Channapatana,9/2/2016,2.0,Tomato,500,800,650
363,Channapatana,12/2/2016,2.0,Tomato,500,700,600
364,Channapatana,15/02/2016,2.0,Tomato,400,600,500
365,Channapatana,16/02/2016,2.0,Tomato,500,700,600
366,Channapatana,17/02/2016,3.0,Tomato,400,600,500
367,Channapatana,18/02/2016,2.0,Tomato,400,600,500
368,Channapatana,19/02/2016,2.0,Tomato,500,700,600
369,Channapatana,20/02/2016,2.0,Tomato,500,700,600
370,Channapatana,22/02/2016,2.0,Tomato,400,600,500
371,Channapatana,23/02/2016,2.0,Tomato,400,700,550
372,Channapatana,24/02/2016,2.0,Tomato,600,800,700
373,Channapatana,25/02/2016,2.0,Tomato,600,800,700
374,Channapatana,26/02/2016,2.0,Tomato,400,600,500
375,Channapatana,27/02/2016,2.0,Tomato,500,700,600
376,Channapatana,29/02/2016,2.0,Tomato,400,800,600
377,Chickkaballapura,7/2/2016,14.0,Tomato,300,770,550
378,Chickkaballapura,8/2/2016,11.0,Tomato,300,800,540
379,Chickkaballapura,9/2/2016,10.0,Tomato,300,1000,700
380,Chickkaballapura,10/2/2016,13.0,Tomato,300,900,700
381,Chickkaballapura,12/2/2016,14.0,Tomato,300,1000,600
382,Chickkaballapura,13/02/2016,12.0,Tomato,300,900,500
383,Chickkaballapura,14/02/2016,10.0,Tomato,300,1000,600
384,Chickkaballapura,15/02/2016,16.0,Tomato,300,900,550
385,Chickkaballapura,16/02/2016,14.0,Tomato,300,1000,800
386,Chickkaballapura,17/02/2016,16.0,Tomato,300,1000,800
387,Chickkaballapura,19/02/2016,32.0,Tomato,300,1000,600
388,Chickkaballapura,20/02/2016,29.0,Tomato,300,1000,700
389,Chickkaballapura,21/02/2016,15.0,Tomato,300,1000,750
390,Chickkaballapura,22/02/2016,17.0,Tomato,250,950,580
391,Chickkaballapura,23/02/2016,19.0,Tomato,300,1000,800
392,Chickkaballapura,24/02/2016,17.0,Tomato,300,1000,700
393,Chickkaballapura,26/02/2016,17.0,Tomato,300,1000,600
394,Chickkaballapura,27/02/2016,19.0,Tomato,300,900,650
395,Chickkaballapura,28/02/2016,18.0,Tomato,300,1000,700
396,Chickkaballapura,29/02/2016,20.0,Tomato,250,1000,700
398,Chikkamagalore,12/2/2016,144.0,Tomato,600,1000,800
401,Chikkamagalore,17/02/2016,133.0,Tomato,400,600,500
402,Chikkamagalore,18/02/2016,60.0,Tomato,400,600,500
403,Chikkamagalore,19/02/2016,140.0,Tomato,400,600,500
404,Chikkamagalore,20/02/2016,160.0,Tomato,400,600,500
406,Chikkamagalore,23/02/2016,61.0,Tomato,400,600,500
407,Chikkamagalore,24/02/2016,120.0,Tomato,400,600,500
408,Chikkamagalore,25/02/2016,60.0,Tomato,400,600,500
409,Chikkamagalore,26/02/2016,100.0,Tomato,400,600,500
410,Chikkamagalore,27/02/2016,80.0,Tomato,400,600,500
411,Chikkamagalore,29/02/2016,160.0,Tomato,400,600,500
412,Chintamani,1/2/2016,75.0,Tomato,333,1000,600
413,Chintamani,7/2/2016,65.0,Tomato,266,800,533
414,Chintamani,8/2/2016,60.0,Tomato,300,800,500
415,Chintamani,9/2/2016,60.0,Tomato,200,600,400
416,Chintamani,10/2/2016,60.0,Tomato,200,600,400
417,Chintamani,11/2/2016,30.0,Tomato,200,500,400
418,Chintamani,12/2/2016,40.0,Tomato,200,533,433
419,Chintamani,13/02/2016,45.0,Tomato,200,400,300
420,Chintamani,14/02/2016,35.0,Tomato,200,500,400
421,Chintamani,15/02/2016,40.0,Tomato,200,533,300
422,Chintamani,16/02/2016,45.0,Tomato,200,500,400
423,Chintamani,17/02/2016,43.0,Tomato,133,400,300
424,Chintamani,18/02/2016,35.0,Tomato,100,333,200
425,Chintamani,19/02/2016,25.0,Tomato,200,500,333
426,Chintamani,20/02/2016,13.0,Tomato,200,400,266
427,Chintamani,21/02/2016,14.0,Tomato,100,366,233
428,Chintamani,22/02/2016,14.0,Tomato,133,433,300
429,Chintamani,24/02/2016,12.0,Tomato,200,466,333
430,Chintamani,25/02/2016,15.0,Tomato,133,450,300
431,Chintamani,26/02/2016,15.0,Tomato,200,500,333
432,Chintamani,27/02/2016,10.0,Tomato,133,400,233
433,Chintamani,28/02/2016,10.0,Tomato,200,466,333
434,Chintamani,29/02/2016,12.0,Tomato,200,466,333
435,Davangere,6/2/2016,50.0,Tomato,100,150,125
436,Davangere,9/2/2016,49.0,Tomato,100,200,150
437,Davangere,12/2/2016,48.0,Tomato,100,150,125
438,Davangere,16/02/2016,35.0,Tomato,100,150,125
439,Davangere,17/02/2016,40.0,Tomato,100,150,125
440,Davangere,18/02/2016,40.0,Tomato,100,150,125
441,Davangere,19/02/2016,38.0,Tomato,100,150,125
442,Davangere,20/02/2016,37.0,Tomato,100,150,125
443,Davangere,23/02/2016,39.0,Tomato,100,300,200
444,Davangere,24/02/2016,40.0,Tomato,100,300,200
445,Davangere,25/02/2016,41.0,Tomato,100,300,200
446,Davangere,26/02/2016,40.0,Tomato,100,300,200
447,Doddaballa Pur,1/2/2016,2.0,Tomato,1000,1800,1400
448,Doddaballa Pur,8/2/2016,2.0,Tomato,800,1000,900
449,Doddaballa Pur,9/2/2016,2.0,Tomato,800,1000,900
450,Doddaballa Pur,12/2/2016,1.0,Tomato,800,1000,900
451,Doddaballa Pur,15/02/2016,1.0,Tomato,800,1200,1000
452,Doddaballa Pur,16/02/2016,2.0,Tomato,800,1200,1000
453,Doddaballa Pur,17/02/2016,1.0,Tomato,800,1200,1000
454,Doddaballa Pur,18/02/2016,1.0,Tomato,800,1200,1000
455,Doddaballa Pur,19/02/2016,2.0,Tomato,800,1200,1000
456,Doddaballa Pur,20/02/2016,2.0,Tomato,600,1000,800
457,Doddaballa Pur,23/02/2016,1.0,Tomato,600,1000,800
458,Doddaballa Pur,25/02/2016,2.0,Tomato,600,1000,800
459,Doddaballa Pur,26/02/2016,2.0,Tomato,600,1000,800
460,Doddaballa Pur,27/02/2016,1.0,Tomato,600,1000,800
461,Doddaballa Pur,29/02/2016,1.0,Tomato,600,1000,800
462,Gundlupet,13/02/2016,10.0,Tomato,500,500,500
463,Gundlupet,16/02/2016,10.0,Tomato,500,500,500
464,Hassan,18/02/2016,21.0,Tomato,376,400,385
465,Hassan,24/02/2016,2.0,Tomato,1000,1000,1000
466,Hassan,25/02/2016,22.0,Tomato,400,427,400
467,Honnali,6/2/2016,3.0,Hybrid,800,800,800
469,Hoskote,16/02/2016,5.0,Tomato,900,1000,950
470,Hospet,2/2/2016,2.0,Tomato,500,800,600
471,Hospet,3/2/2016,10.0,Tomato,500,800,600
472,Hospet,9/2/2016,12.0,Tomato,500,800,600
473,Hospet,10/2/2016,9.0,Tomato,300,800,500
474,Hospet,15/02/2016,13.0,Tomato,500,600,500
475,Hospet,22/02/2016,2.0,Tomato,1500,1600,1600
476,Hospet,29/02/2016,12.0,Tomato,400,500,500
477,K.R.Nagar,8/2/2016,1.0,Tomato,1000,1000,1000
478,Kanakapura,1/2/2016,1.0,Tomato,600,1000,800
479,Kanakapura,8/2/2016,1.0,Tomato,600,800,700
480,Kanakapura,15/02/2016,1.0,Tomato,500,1000,800
481,Kanakapura,16/02/2016,1.0,Tomato,800,1000,900
488,Kolar,13/02/2016,159.0,Tomato,300,734,534
491,Kolar,16/02/2016,122.0,Tomato,347,867,600
493,Kolar,18/02/2016,153.0,Tomato,334,1000,734
494,Kolar,19/02/2016,160.0,Tomato,300,800,634
496,Kolar,21/02/2016,141.0,Tomato,334,867,667
497,Kolar,22/02/2016,125.0,Tomato,300,867,600
498,Kolar,23/02/2016,151.0,Tomato,320,800,634
500,Kolar,25/02/2016,165.0,Tomato,346,967,700
501,Kolar,26/02/2016,135.0,Tomato,334,800,534
502,Kolar,27/02/2016,166.0,Tomato,367,1000,634
503,Kolar,28/02/2016,167.0,Tomato,334,934,600
505,Kollegal,17/02/2016,1.0,Hybrid,800,1000,900
507,Malur,26/02/2016,40.0,Tomato,400,800,500
508,Mulabagilu,7/2/2016,31.0,Tomato,335,1000,665
509,Mulabagilu,8/2/2016,39.0,Tomato,200,665,435
510,Mulabagilu,9/2/2016,40.0,Tomato,200,600,400
511,Mulabagilu,11/2/2016,37.0,Tomato,200,735,465
512,Mulabagilu,12/2/2016,41.0,Tomato,200,600,400
513,Mulabagilu,13/02/2016,26.0,Tomato,265,800,535
514,Mulabagilu,14/02/2016,25.0,Tomato,235,735,500
515,Mulabagilu,15/02/2016,36.0,Tomato,200,665,435
516,Mulabagilu,16/02/2016,41.0,Tomato,200,535,365
517,Mulabagilu,17/02/2016,21.0,Tomato,900,1500,1000
518,Mulabagilu,18/02/2016,25.0,Tomato,1000,1400,1100
519,Mulabagilu,19/02/2016,30.0,Tomato,900,1400,1000
520,Mulabagilu,20/02/2016,25.0,Tomato,700,1100,1000
521,Mulabagilu,21/02/2016,30.0,Tomato,650,1000,950
522,Mulabagilu,22/02/2016,26.0,Tomato,700,1100,1000
523,Mulabagilu,23/02/2016,32.0,Tomato,800,1100,1050
524,Mulabagilu,24/02/2016,30.0,Tomato,200,600,400
525,Mulabagilu,25/02/2016,19.0,Tomato,335,865,600
526,Mulabagilu,26/02/2016,23.0,Tomato,200,735,465
527,Mulabagilu,27/02/2016,48.0,Tomato,200,665,435
528,Mulabagilu,28/02/2016,40.0,Tomato,200,535,365
529,Mulabagilu,29/02/2016,30.0,Tomato,235,665,435
545,Nagamangala,6/2/2016,10.0,Tomato,500,500,500
546,Nagamangala,7/2/2016,3.0,Tomato,800,1000,900
547,Nagamangala,8/2/2016,9.0,Tomato,500,500,500
548,Nagamangala,11/2/2016,9.0,Tomato,500,500,500
549,Nagamangala,12/2/2016,8.0,Tomato,500,500,500
550,Nagamangala,15/02/2016,10.0,Tomato,400,400,400
551,Nagamangala,16/02/2016,12.0,Tomato,300,400,350
552,Nagamangala,17/02/2016,14.0,Tomato,300,500,500
553,Nagamangala,18/02/2016,12.0,Tomato,500,600,500
554,Nagamangala,19/02/2016,5.0,Tomato,400,400,400
555,Nagamangala,22/02/2016,18.0,Tomato,500,500,500
